model_id,provider_group,source_model,family,modality,task_role,quality_tier,priority,confidence,classification_note
g4f-pollinations/srv_mt5bgbno5c8274425e45:qwen3.8:27b,g4f-pollinations,srv_mt5bgbno5c8274425e45:qwen3.8:27b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkom688d57c76d8a3542:openai/gpt-oss-120b,g4f-pollinations,openai/gpt-oss-120b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkom688d57c76d8a3542:openai/gpt-oss-20b,g4f-pollinations,openai/gpt-oss-20b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:openai/gpt-oss-120b,g4f-pollinations,openai/gpt-oss-120b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:openai/gpt-oss-20b,g4f-pollinations,openai/gpt-oss-20b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:chirag-gamer/gpt-oss-120b,g4f-pollinations,chirag-gamer/gpt-oss-120b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:chirag-gamer/gpt-oss-120b,g4f-pollinations,chirag-gamer/gpt-oss-120b,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:grok-4.20-0309-non-reasoning,g4f-pollinations,srv_mrgynwuz08a167112109:grok-4.20-0309-non-reasoning,Grok/xAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:grok-4.3,g4f-pollinations,srv_mrgynwuz08a167112109:grok-4.3,Grok/xAI,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:fgpt-grok-4-3,g4f-pollinations,srv_msjkstt04622bf04c675:fgpt-grok-4-3,Grok/xAI,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:fxyz-grok,g4f-pollinations,srv_msjkstt04622bf04c675:fxyz-grok,Grok/xAI,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:grok-4-fast,g4f-pollinations,srv_msjkstt04622bf04c675:grok-4-fast,Grok/xAI,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:chigwell/grok-4.6,g4f-pollinations,chigwell/grok-4.6,Grok/xAI,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:JustScriptzz/grok-4.6,g4f-pollinations,JustScriptzz/grok-4.6,Grok/xAI,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:kimi-code,g4f-pollinations,srv_mrdypihj16e8b1776409:kimi-code,Kimi,text-chat,coding,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:kimi-k3,g4f-pollinations,srv_mrgynwuz08a167112109:kimi-k3,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:crowllm:kimi-k3,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:crowllm:kimi-k3,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:DeepInfra:kimi-k3,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:DeepInfra:kimi-k3,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:kimi-k3,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:kimi-k3,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:moonshotai/kimi-k3,g4f-pollinations,moonshotai/kimi-k3,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:JustScriptzz/kimi-k3,g4f-pollinations,JustScriptzz/kimi-k3,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:sharktide/inferenceport-ai-kimi-k2.7-code,g4f-pollinations,sharktide/inferenceport-ai-kimi-k2.7-code,Kimi,text-chat,coding,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:vendouple/kimi-k2.6,g4f-pollinations,vendouple/kimi-k2.6,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgynwuz08a167112109:moonshotai/Kimi-K2.5,g4f-pollinations,moonshotai/Kimi-K2.5,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgynwuz08a167112109:moonshotai/Kimi-K3,g4f-pollinations,moonshotai/Kimi-K3,Kimi,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:minimax,g4f-pollinations,srv_mrdypihj16e8b1776409:minimax,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:minimax-m2.7,g4f-pollinations,srv_mrdypihj16e8b1776409:minimax-m2.7,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgynwuz08a167112109:minimax-m3,g4f-pollinations,srv_mrgynwuz08a167112109:minimax-m3,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mshic8yn3b1e37aa77d5:minimax-m3:cloud,g4f-pollinations,srv_mshic8yn3b1e37aa77d5:minimax-m3:cloud,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt4qsz48835de85d3492:minimax-m2.7,g4f-pollinations,srv_mt4qsz48835de85d3492:minimax-m2.7,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:minimaxai/minimax-m3,g4f-pollinations,minimaxai/minimax-m3,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:MarcosFRG/minimax-m3,g4f-pollinations,MarcosFRG/minimax-m3,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:sharktide/inferenceport-ai-minimax-m3,g4f-pollinations,sharktide/inferenceport-ai-minimax-m3,MiniMax,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:qwen-coder,g4f-pollinations,srv_mrdypihj16e8b1776409:qwen-coder,Qwen,text-chat,coding,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:qwen3.8-2.4t-a95b,g4f-pollinations,srv_mrdypihj16e8b1776409:qwen3.8-2.4t-a95b,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgxthn5dfa6e2f0a5b6:qwen3.7-plus,g4f-pollinations,srv_mrgxthn5dfa6e2f0a5b6:qwen3.7-plus,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgymq8534d9ea96920d:qwen3.7-plus,g4f-pollinations,srv_mrgymq8534d9ea96920d:qwen3.7-plus,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgcl4vs6336675136db:qwen3:8b,g4f-pollinations,srv_msgcl4vs6336675136db:qwen3:8b,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:fxyz-qwen,g4f-pollinations,srv_msjkstt04622bf04c675:fxyz-qwen,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:qwen3-8-27b,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:qwen3-8-27b,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkom688d57c76d8a3542:qwen/qwen3.6-27b,g4f-pollinations,qwen/qwen3.6-27b,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:sharktide/inferenceport-ai-qwen-3.6-27b,g4f-pollinations,sharktide/inferenceport-ai-qwen-3.6-27b,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrgynwuz08a167112109:qwen/qwen3.6-27b,g4f-pollinations,qwen/qwen3.6-27b,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:qwen/qwen3.8-max,g4f-pollinations,qwen/qwen3.8-max,Qwen,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/deepseek,pollinations,deepseek,DeepSeek,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/gemini-flash-lite-3.1,pollinations,gemini-flash-lite-3.1,Gemini/Google,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/openai-fast,pollinations,openai-fast,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/openai-large,pollinations,openai-large,GPT/OpenAI,text-chat,reasoning-general,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/grok,pollinations,grok,Grok/xAI,text-chat,general-chat,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
pollinations/qwen-coder,pollinations,qwen-coder,Qwen,text-chat,coding,strong-candidate,P3-strong-candidate,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:meta/llama-3.1-70b-instruct,g4f-pollinations,meta/llama-3.1-70b-instruct,Llama/Meta,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:meta/llama-3.1-8b-instruct,g4f-pollinations,meta/llama-3.1-8b-instruct,Llama/Meta,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:meta/llama-3.2-1b-instruct,g4f-pollinations,meta/llama-3.2-1b-instruct,Llama/Meta,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:meta/muse-glimmer-30b,g4f-pollinations,meta/muse-glimmer-30b,Llama/Meta,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:laguna-s,g4f-pollinations,srv_msjkstt04622bf04c675:laguna-s,Luna/Laguna,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:vendouple/laguna-s-2.1:free,g4f-pollinations,vendouple/laguna-s-2.1:free,Luna/Laguna,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrgykg8eea645e7bb006:nemotron-3-nano:30b,g4f-pollinations,srv_mrgykg8eea645e7bb006:nemotron-3-nano:30b,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:nemotron-ultra,g4f-pollinations,srv_msjkstt04622bf04c675:nemotron-ultra,Nemotron/NVIDIA,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:oc-nemotron-3-ultra-free,g4f-pollinations,srv_msjkstt04622bf04c675:oc-nemotron-3-ultra-free,Nemotron/NVIDIA,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt4quyfw26b0a700926a:nemotron-3.5-lightning-30b,g4f-pollinations,srv_mt4quyfw26b0a700926a:nemotron-3.5-lightning-30b,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:nvidia/nemotron-3-nano-30b-a3b,g4f-pollinations,nvidia/nemotron-3-nano-30b-a3b,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:nvidia/nemotron-3-super-120b-a12b,g4f-pollinations,nvidia/nemotron-3-super-120b-a12b,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:nvidia/nemotron-3-ultra-550b-a55b,g4f-pollinations,nvidia/nemotron-3-ultra-550b-a55b,Nemotron/NVIDIA,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:nvidia/nemotron-3.5-lightning-30b-a3b,g4f-pollinations,nvidia/nemotron-3.5-lightning-30b-a3b,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:nvidia/nvidia-nemotron-nano-9b-v2,g4f-pollinations,nvidia/nvidia-nemotron-nano-9b-v2,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_monk1pkz433a519ff2be:nvidia/nemotron-3.5-lightning:free,g4f-pollinations,nvidia/nemotron-3.5-lightning:free,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:MarcosFRG/nemotron-3.5-lightning-30b,g4f-pollinations,MarcosFRG/nemotron-3.5-lightning-30b,Nemotron/NVIDIA,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/auto,g4f-pollinations,auto,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mkom688d57c76d8a3542:allam-2-7b,g4f-pollinations,srv_mkom688d57c76d8a3542:allam-2-7b,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mkopv2kp2e0038cdf550:turbo,g4f-pollinations,srv_mkopv2kp2e0038cdf550:turbo,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:command-a-plus,g4f-pollinations,srv_mrdypihj16e8b1776409:command-a-plus,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:klein,g4f-pollinations,srv_mrdypihj16e8b1776409:klein,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:perplexity-fast,g4f-pollinations,srv_mrdypihj16e8b1776409:perplexity-fast,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:perplexity-reasoning,g4f-pollinations,srv_mrdypihj16e8b1776409:perplexity-reasoning,Other Open Model,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mrdypihj16e8b1776409:sana,g4f-pollinations,srv_mrdypihj16e8b1776409:sana,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msgclghj4daadc36d8aa:granite4.1:8b,g4f-pollinations,srv_msgclghj4daadc36d8aa:granite4.1:8b,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:fxyz-perplexity-search,g4f-pollinations,srv_msjkstt04622bf04c675:fxyz-perplexity-search,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:oc-ling-3-0-flash-free,g4f-pollinations,srv_msjkstt04622bf04c675:oc-ling-3-0-flash-free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:oc-mimo-v2-5-free,g4f-pollinations,srv_msjkstt04622bf04c675:oc-mimo-v2-5-free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:stepfun-step-37-flash,g4f-pollinations,srv_msjkstt04622bf04c675:stepfun-step-37-flash,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_msjkstt04622bf04c675:toolbaz-v4.5-fast,g4f-pollinations,srv_msjkstt04622bf04c675:toolbaz-v4.5-fast,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt1wbaxgf9c946af0c58:kat-coder-pro-v2.5,g4f-pollinations,srv_mt1wbaxgf9c946af0c58:kat-coder-pro-v2.5,Other Open Model,text-chat,coding,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt4quyfw26b0a700926a:mimo-v2.5,g4f-pollinations,srv_mt4quyfw26b0a700926a:mimo-v2.5,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
g4f-pollinations/srv_mt52nnuh2ab2cda70978:big-pickle,g4f-pollinations,srv_mt52nnuh2ab2cda70978:big-pickle,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkom688d57c76d8a3542:groq/compound,g4f-pollinations,groq/compound,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkom688d57c76d8a3542:groq/compound-mini,g4f-pollinations,groq/compound-mini,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mkombumpae45db46dcb8:thinkingmachines/inkling,g4f-pollinations,thinkingmachines/inkling,Other Open Model,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_monk1pkz433a519ff2be:openrouter/free,g4f-pollinations,openrouter/free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_monk1pkz433a519ff2be:stealth/ox-alpha,g4f-pollinations,stealth/ox-alpha,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:chigwell/llm7-fast,g4f-pollinations,chigwell/llm7-fast,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:pegalink/ox-alpha,g4f-pollinations,pegalink/ox-alpha,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:pegalink/ox-alpha-agent,g4f-pollinations,pegalink/ox-alpha-agent,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:Spit-fires/muse-glimmer,g4f-pollinations,Spit-fires/muse-glimmer,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:vendouple/ox-alpha,g4f-pollinations,vendouple/ox-alpha,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mp5miql908c8738d71be:YoannDev90/muse-glimmer-30b:free,g4f-pollinations,YoannDev90/muse-glimmer-30b:free,Other Open Model,text-chat,coding,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mqjxnj9i4e35281e8d60:koboldcpp/magnum-v4-12b-Q4_K_M,g4f-pollinations,koboldcpp/magnum-v4-12b-Q4_K_M,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:Catniti/agnes-2.5-flash,g4f-pollinations,Catniti/agnes-2.5-flash,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:chigwell/llm7-fast,g4f-pollinations,chigwell/llm7-fast,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:gggff123/Inkling,g4f-pollinations,gggff123/Inkling,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:gggff123/step-3.7-flash,g4f-pollinations,gggff123/step-3.7-flash,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:JustScriptzz/moondream-3.1,g4f-pollinations,JustScriptzz/moondream-3.1,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:MarcosFRG/mimo-v2.5,g4f-pollinations,MarcosFRG/mimo-v2.5,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:mikl-shortcuts/ministral-3,g4f-pollinations,mikl-shortcuts/ministral-3,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:sharktide/inferenceport-ai-codestral-2508,g4f-pollinations,sharktide/inferenceport-ai-codestral-2508,Other Open Model,text-chat,coding,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:solarnode-developement/hy3,g4f-pollinations,solarnode-developement/hy3,Other Open Model,text-chat,coding,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:vendouple/muse-glimmer-30b:free,g4f-pollinations,vendouple/muse-glimmer-30b:free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_mrdypihj16e8b1776409:voodoohop/airforce-doubao-pro,g4f-pollinations,voodoohop/airforce-doubao-pro,Other Open Model,text-chat,reasoning-general,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msgckvod661adcf0fff2:richardyoung/olmocr2:7b-q8,g4f-pollinations,richardyoung/olmocr2:7b-q8,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msjekdik2f3768a4ee42:kilo-auto/free,g4f-pollinations,kilo-auto/free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msjekdik2f3768a4ee42:openrouter/free,g4f-pollinations,openrouter/free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msjekdik2f3768a4ee42:tencent/hy3:free,g4f-pollinations,tencent/hy3:free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
srv_msoxsh206cb0d89eca32:orcarouter/free,g4f-pollinations,orcarouter/free,Other Open Model,text-chat,general-chat,community-unknown,P4-broad-community,low,Name/provider heuristic; verify with endpoint probe before production auto-routing.
